transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,masked_email,masked_phone,revenue
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Troy60@gmail.com,8385276968,successful,Tro***@gmail.com,83******68,44999.9
2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,SarahGuerrero@yahoo.com,7147248911,successful,Sar**********@yahoo.com,71******11,349999.65
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,SamanthaHull@outlook.com,7415321565,successful,Sam*********@outlook.com,74******65,129999.95
4,794,Gerald Cooper,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,GeraldCooper@gmail.com,9739354201,successful,Ger*********@gmail.com,97******01,159999.95
5,864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,CameronBlack@yahoo.com,9938169477,successful,Cam*********@yahoo.com,99******77,14999.95
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,successful,Mar**********@gmail.com,87******17,1249999.65
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,failed,Mar**********@gmail.com,87******17,1249999.65
7,142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,Charles7@gmail.com,9980826322,successful,Cha*****@gmail.com,99******22,499999.95
8,457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Cathy90@gmail.com,8396657576,successful,Cat****@gmail.com,83******76,69999.95
9,749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,LindaLara@outlook.com,7476164201,successful,Lin******@outlook.com,74******01,134999.7
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,JoseThomas@outlook.com,8398779963,successful,Jos*******@outlook.com,83******63,139999.6
11,946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,LisaCochran@gmail.com,8354440319,successful,Lis********@gmail.com,83******19,31999.7
12,757,Yvette Clark,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,YvetteClark@gmail.com,6025126334,successful,Yve********@gmail.com,60******34,239999.75
13,838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,SusanTorres@outlook.com,8776486426,successful,Sus********@outlook.com,87******26,324999.65
14,117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,BrentClark@gmail.com,9054087598,successful,Bre*******@gmail.com,90******98,324999.8
15,923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,GeorgeWilkinson@gmail.com,6517059222,successful,Geo************@gmail.com,65******22,324999.75
16,765,Eric Gaines,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,EricGaines@yahoo.com,7665911327,successful,Eri*******@yahoo.com,76******27,39999.85
17,570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,Donald21@gmail.com,7944230219,successful,Don*****@gmail.com,79******19,209999.85
18,973,Allen Gilbert,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,AllenGilbert@outlook.com,7543149731,successful,All*********@outlook.com,75******31,29999.85
19,786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,JeremiahSimmons@outlook.com,7139465116,successful,Jer************@outlook.com,71******16,5199.8
20,576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,AngelaWeiss@yahoo.com,6433163539,successful,Ang********@yahoo.com,64******39,7999.85
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Nicole72@gmail.com,9261161732,successful,Nic*****@gmail.com,92******32,194999.95
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,KimberlyLloyd@gmail.com,6053522093,successful,Kim**********@gmail.com,60******93,259999.6
23,104,Amanda Castillo,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,AmandaCastillo@yahoo.com,9259539548,successful,Ama***********@yahoo.com,92******48,29999.75
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,StephanieDunn@gmail.com,7485500744,successful,Ste**********@gmail.com,74******44,44999.75
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Alyssa98@gmail.com,9956125109,successful,Aly*****@gmail.com,99******09,69999.7
26,149,Ashley Mejia,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,AshleyMejia@outlook.com,6877766443,successful,Ash********@outlook.com,68******43,79999.95
27,927,Bradley Sparks,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,BradleySparks@gmail.com,8246590514,successful,Bra**********@gmail.com,82******14,224999.8
28,868,Timothy Henderson,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Timothy78@gmail.com,6565238386,successful,Tim******@gmail.com,65******86,49999.7
